TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,base-devel,is a group package with sudo and compilation software
,git,is a version control system
,i3-gaps,is the main graphical user interface and window manager
,xorg-server,is the graphical server
,xorg-xdpyinfo,retrieves screen information for some scripts
,xorg-xinit,starts the graphical server
,adobe-source-code-pro-fonts, is the monospace font
,chromium,favorite browser
,ranger,is an extensive terminal file manager that everyone likes
,arandr,is a UI for screen adjustment
,compton,for transparency and removing screen-tearing
,cronie,manages scheduled tasks
,dosfstools,allows your computer to access dos-like filesystems
,dunst,is a suckless notification system
,exfat-utils,allows management of FAT drives
,feh,is a minimal image viewer
,ffmpeg,can record and splice video and audio on the command line
,gnome-keyring,serves as the system keyring
,gnome-themes-extra,gives the dark GTK theme used in LARBS
,gvim,provides a build of vim with the ability to copy and paste between other programs
,i3blocks,is the status bar
A,i3lock-fancy-git,is the screen lock
,mpv,is the patrician's choice video/gif player
,networkmanager,does exactly what it sounds like
,network-manager-applet,appears in the top right corner and manages the wi-fi connection
,newsboat,is a terminal RSS client
,ntfs-3g,allows accessing NTFS partitions
,pulseaudio,is the audio system (>inb4 bloat)
,pulseaudio-alsa,is an audio interface with ALSA
,alsa-utils, alsa utils
,python-pywal,generates color schemes based on your wallpaper
A,htop-vim-git,provides system usage information and displays processes
,tmux,is a terminal multiplexer
A,unclutter-xfixes-git,hides an inactive mouse
,unrar,extracts rar's
,unzip,unzips zips
A,urlview,parses URLs in the terminal allowing keyboard-based selection
A,vim-pathogen,manages vim plugins
,w3m,is a terminal browser which can also view images
,wget,downloads sites and files on the command line
,xcape,gives the special escape/super mappings of LARBS
,xdotool,provides window action utilities on the command line.
,xssstate,times out the screen if locked
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link
,zathura,is a pdf viewer with vim-like bindings
,zathura-djvu,gives zathura the ability to read .djvu files
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura
,poppler,manipulates .pdfs and gives .pdf previews in ranger
,mediainfo,shows audio and video information and is used by ranger as well
,atool,manages and gives information about archives
,fzf,is a fuzzy finder tool
,highlight,can highlight code output
G,https://github.com/alexanderjeurissen/ranger_devicons.git,gives folder and file icons in ranger
A,task-spooler,queues commands or files for download
,kitty,cutter terminal emulator
A,spotify,music streamming
,atom,gui text editor
,tlp,power management
A,albert,d-menu like
A,polybar,bloated bar :d
